TranID,Time,Price,Volume,SaleOrderVolume,BuyOrderVolume,Type,SaleOrderID,SaleOrderPrice,BuyOrderID,BuyOrderPrice
1,09:25:00,5.5,100,100,1000,S,1,4.85,1,5.93
2,09:25:00,5.5,700,700,1000,S,2,4.85,1,5.93
3,09:25:00,5.5,200,1800,1000,S,3,4.85,1,5.93
4,09:25:00,5.5,800,1800,800,S,3,4.85,4,5.93
5,09:25:00,5.5,300,1800,300,S,3,4.85,5,5.93
6,09:25:00,5.5,500,1800,1000,S,3,4.85,6,5.93
7,09:25:00,5.5,500,800,1000,S,7,4.85,6,5.93
8,09:25:00,5.5,300,800,1900,S,7,4.85,8,5.86
9,09:25:00,5.5,1600,7800,1900,S,9,4.85,8,5.86
10,09:25:00,5.5,1000,7800,1000,S,9,4.85,10,5.8
11,09:25:00,5.5,5000,7800,5000,S,9,4.85,11,5.75
12,09:25:00,5.5,200,7800,3700,B,9,4.85,12,5.66
13,09:25:00,5.5,3500,20000,3700,B,13,4.85,12,5.66
14,09:25:00,5.5,3100,20000,3100,B,13,4.85,14,5.66
15,09:25:00,5.5,700,20000,700,B,13,4.85,15,5.66
16,09:25:00,5.5,2300,20000,2300,B,13,4.85,16,5.66
17,09:25:00,5.5,1200,20000,1200,B,13,4.85,17,5.66
18,09:25:00,5.5,1900,20000,1900,B,13,4.85,18,5.66
19,09:25:00,5.5,1100,20000,1100,B,13,4.85,19,5.66
20,09:25:00,5.5,200,20000,200,B,13,4.85,20,5.66
21,09:25:00,5.5,2200,20000,2200,B,13,4.85,21,5.66
22,09:25:00,5.5,1700,20000,1700,S,13,4.85,22,5.65
23,09:25:00,5.5,2100,20000,5000,S,13,4.85,23,5.61
24,09:25:00,5.5,2900,3000,5000,S,24,5.3,23,5.61
25,09:25:00,5.5,100,3000,20000,S,24,5.3,25,5.6
26,09:25:00,5.5,3500,3500,20000,B,26,5.39,25,5.6
27,09:25:00,5.5,1400,1400,20000,B,27,5.39,25,5.6
28,09:25:00,5.5,2000,2000,20000,B,28,5.39,25,5.6
29,09:25:00,5.5,900,900,20000,S,29,5.39,25,5.6
30,09:25:00,5.5,8000,8000,20000,B,30,5.4,25,5.6
31,09:25:00,5.5,800,800,20000,S,31,5.4,25,5.6
32,09:25:00,5.5,1300,1300,20000,S,32,5.4,25,5.6
33,09:25:00,5.5,2000,12000,20000,S,33,5.4,25,5.6
34,09:25:00,5.5,2300,12000,2300,B,33,5.4,34,5.6
35,09:25:00,5.5,7700,12000,33000,B,33,5.4,35,5.6
36,09:25:00,5.5,25300,53200,33000,B,36,5.4,35,5.6
37,09:25:00,5.5,2000,53200,2000,S,36,5.4,37,5.58
38,09:25:00,5.5,300,53200,300,S,36,5.4,38,5.58
39,09:25:00,5.5,2200,53200,2200,S,36,5.4,39,5.58
40,09:25:00,5.5,700,53200,700,S,36,5.4,40,5.58
41,09:25:00,5.5,1600,53200,1600,S,36,5.4,41,5.58
42,09:25:00,5.5,1800,53200,1800,B,36,5.4,42,5.58
43,09:25:00,5.5,1000,53200,1000,B,36,5.4,43,5.58
44,09:25:00,5.5,3200,53200,3200,B,36,5.4,44,5.58
45,09:25:00,5.5,300,53200,300,S,36,5.4,45,5.57
46,09:25:00,5.5,4000,53200,4000,B,36,5.4,46,5.57
47,09:25:00,5.5,1000,53200,1000,S,36,5.4,47,5.56
48,09:25:00,5.5,9800,53200,10900,B,36,5.4,48,5.56
49,09:25:00,5.5,1100,3000,10900,B,49,5.4,48,5.56
50,09:25:00,5.5,1900,3000,37500,S,49,5.4,50,5.55
51,09:25:00,5.5,2000,2000,37500,B,51,5.41,50,5.55
52,09:25:00,5.5,100,100,37500,B,52,5.43,50,5.55
53,09:25:00,5.5,9500,9500,37500,B,53,5.43,50,5.55
54,09:25:00,5.5,700,700,37500,B,54,5.44,50,5.55
55,09:25:00,5.5,5100,5100,37500,S,55,5.44,50,5.55
